Название в программе;Нормализованное название в программе;Найденное совпадение в exercise DB;DB id;Confidence score;Статус;Причина;Предлагаемый alias;Встречается в программах;Кол-во course_id;Кол-во lesson_id;Muscle group DB;Pattern DB;Target zone DB;DB has video;Второй кандидат;Score второго кандидата;Пример raw/comment
Присед в смите;присед в смите;"Си-си присед на бицепс бедра в смите, техника выполнения упражнения";table_018;0.725;fuzzy_match;Высокая похожесть по токенам/строке.;"Си-си присед на бицепс бедра в смите, техника выполнения упражнения";11;7;11;ноги бицепс бедра;сгибание ног;Бицепс бедра;true;"Приседания в смите, техника выполнения упражнения";0.522;Упражнение 1: Присед в смите 4 подходов x 8 раз | Упражнение 1: Присед в смите 4 подходов x 8 раз | Упражнение 3: Присед в смите 4 подходов x 12 раз
Классические отжимания 10 раз;классические отжимания 10 раз;"Классические отжимания, техника выполнения упражнения";table_103;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Классические отжимания, техника выполнения упражнения";10;5;10;грудь;горизонтальный жим;Грудные / трицепс;true;"Обратные отжимания, техника выполнения упражнения";0.267;Упражнение 3: Классические отжимания 10 раз | Упражнение 3: Классические отжимания 10 раз | Упражнение 3: Классические отжимания 10 раз
Разгибание ног 10 раз;разгибание ног 10 раз;"Разгибание ног, техника выполнения упражнения";table_123;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Разгибание ног, техника выполнения упражнения";9;5;9;ноги;разгибание ног;Квадрицепс;true;"Сгибание ног лёжа, техника выполнения упражнения";0.312;Упражнение 4: Разгибание ног 10 раз | Упражнение 4: Разгибание ног 10 раз | Упражнение 4: Разгибание ног 10 раз
Си-си присед с собственным весом 10 раз;си си присед с собственным весом 10 раз;"Си-си присед с собственным весом, техника выполнения упражнения";table_014;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Си-си присед с собственным весом, техника выполнения упражнения";9;5;9;ноги квадрицепс;приседание;Квадрицепс;true;"Си-си присед на бицепс бедра в смите, техника выполнения упражнения";0.33;Упражнение 5: Си-си присед с собственным весом 10 раз | Упражнение 5: Си-си присед с собственным весом 10 раз | Упражнение 5: Си-си присед с собственным весом 10 раз
Зашагивания на тумбу 10 раз;зашагивания на тумбу 10 раз;"Зашагивания на тумбу, техника выполнения упражнения";table_012;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Зашагивания на тумбу, техника выполнения упражнения";8;8;8;ноги ягодицы;зашагивание;Ягодицы / квадрицепс;true;"Латеральные или боковые зашагивания, техника выполнения упражнения";0.208;Упражнение 3: Зашагивания на тумбу 10 раз | Упражнение 6: Зашагивания на тумбу 10 раз | Упражнение 8: Зашагивания на тумбу 10 раз
Латеральные или боковые зашагивания 10 раз;латеральные или боковые зашагивания 10 раз;"Латеральные или боковые зашагивания, техника выполнения упражнения";table_036;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Латеральные или боковые зашагивания, техника выполнения упражнения";8;8;8;ноги бицепс бедра;зашагивание;Средняя ягодичная / квадрицепс;true;"Латеральная или боковая вытяжка в кросовере, техника выполнения упражнения. (ЛФК для спины)";0.468;Упражнение 2: Латеральные или боковые зашагивания 10 раз | Упражнение 5: Латеральные или боковые зашагивания 10 раз | Упражнение 7: Латеральные или боковые зашагивания 10 раз
Велосипедные скручивания;велосипедные скручивания;"Велосипедные скручивания на пресс, техника выполнения упражнения";table_100;0.92;fuzzy_match;Название из программы является частью названия в exercise DB.;"Велосипедные скручивания на пресс, техника выполнения упражнения";6;3;6;пресс;скручивание;Косые мышцы живота;true;"Косые скручивания с мячом, техника выполнения упражнения";0.411;Упражнение 9: Велосипедные скручивания 4 подходов x 30 сек | Упражнение 9: Велосипедные скручивания 4 подходов x 30 сек | Упражнение 8: Велосипедные скручивания 4 подходов x 30 сек
Молотковые сгибания с канатной рукоятью в кроссовере;молотковые сгибания с канатной рукоятью в кроссовере;"Молотковые сгибание на бицепс с канатной рукояткой в кроссовере, техника выполнения упражнения";table_171;0.742;fuzzy_match;Высокая похожесть по токенам/строке.;"Молотковые сгибание на бицепс с канатной рукояткой в кроссовере, техника выполнения упражнения";6;3;6;бицепс;сгибание локтя;Бицепс / брахиалис;true;"Бицепс с канатной рукояткой в кроссовере, техника выполнения упражнения";0.421;Упражнение 9: Молотковые сгибания с канатной рукоятью в кроссовере 4 подходов x 12 раз | Упражнение 9: Молотковые сгибания с канатной рукоятью в кроссовере 4 подходов x 12 раз | Упражнение 9: Молотковые сгибания с канатной рукоятью в кроссовере 4 подходов x 12 раз
Сведение рук в кроссовере на 30* скамье 10 раз;сведение рук в кроссовере на 30 скамье 10 раз;"Сведение рук в кроссовере, техника выполнения упражнения";table_007;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Сведение рук в кроссовере, техника выполнения упражнения";6;3;6;грудь;сведение рук;Большие грудные;true;"Сведение рук в кроссовере на 30-градусной скамье, техника выполнения упражнения";0.697;Упражнение 3: Сведение рук в кроссовере на 30* скамье 10 раз | Упражнение 3: Сведение рук в кроссовере на 30* скамье 10 раз | Упражнение 3: Сведение рук в кроссовере на 30* скамье 10 раз
Си-си присед на бицепс бедра;си си присед на бицепс бедра;"Си-си присед на бицепс бедра в смите, техника выполнения упражнения";table_018;0.92;fuzzy_match;Название из программы является частью названия в exercise DB.;"Си-си присед на бицепс бедра в смите, техника выполнения упражнения";6;5;6;ноги бицепс бедра;сгибание ног;Бицепс бедра;true;Жим ногами на бицепс бедра;0.492;Упражнение 5: Си-си присед на бицепс бедра 4 подходов x 10 раз | Упражнение 5: Си-си присед на бицепс бедра 4 подходов x 10 раз | Упражнение 5: Си-си присед на бицепс бедра 4 подходов x 10 раз
Сведение рук в кроссовере 10 раз;сведение рук в кроссовере 10 раз;"Сведение рук в кроссовере, техника выполнения упражнения";table_007;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Сведение рук в кроссовере, техника выполнения упражнения";3;2;3;грудь;сведение рук;Большие грудные;true;Сведение рук в кроссовере на горизонтальной скамье;0.555;Упражнение 2: Сведение рук в кроссовере 10 раз | Упражнение 2: Сведение рук в кроссовере 10 раз | Упражнение 4: Сведение рук в кроссовере 10 раз
Зашагивания на тумбу 15 раз;зашагивания на тумбу 15 раз;"Зашагивания на тумбу, техника выполнения упражнения";table_012;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Зашагивания на тумбу, техника выполнения упражнения";2;2;2;ноги ягодицы;зашагивание;Ягодицы / квадрицепс;true;"Раводка под 15*, техника выполнения упражнения";0.24;Упражнение 5: Зашагивания на тумбу 15 раз | Упражнение 3: Зашагивания на тумбу 15 раз
Латеральные или боковые зашагивания 15 раз;латеральные или боковые зашагивания 15 раз;"Латеральные или боковые зашагивания, техника выполнения упражнения";table_036;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Латеральные или боковые зашагивания, техника выполнения упражнения";2;2;2;ноги бицепс бедра;зашагивание;Средняя ягодичная / квадрицепс;true;"Латеральная или боковая вытяжка в кросовере, техника выполнения упражнения. (ЛФК для спины)";0.468;Упражнение 4: Латеральные или боковые зашагивания 15 раз | Упражнение 4: Латеральные или боковые зашагивания 15 раз
Скручивание на полу;скручивание на полу;"Скручивания на полу на пресс, техника выполнения упражнения";table_101;0.843;fuzzy_match;Высокая похожесть по токенам/строке.;"Скручивания на полу на пресс, техника выполнения упражнения";2;2;2;пресс;скручивание;Прямая мышца живота;true;"Скручивания на скамье для пресса, техника выполнения упражнения";0.435;Упражнение 7: Скручивание на полу 4 подходов x 20 раз | Упражнение 7: Скручивание на полу 4 подходов x 20 раз
Зашагивания на тумбу 12 раз;зашагивания на тумбу 12 раз;"Зашагивания на тумбу, техника выполнения упражнения";table_012;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Зашагивания на тумбу, техника выполнения упражнения";1;1;1;ноги ягодицы;зашагивание;Ягодицы / квадрицепс;true;"Латеральные или боковые зашагивания, техника выполнения упражнения";0.208;Упражнение 3: Зашагивания на тумбу 12 раз
Зашагивания на тумбу 8 раз;зашагивания на тумбу 8 раз;"Зашагивания на тумбу, техника выполнения упражнения";table_012;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Зашагивания на тумбу, техника выполнения упражнения";1;1;1;ноги ягодицы;зашагивание;Ягодицы / квадрицепс;true;"Латеральные или боковые зашагивания, техника выполнения упражнения";0.259;Упражнение 5: Зашагивания на тумбу 8 раз
Латеральные или боковые зашагивания 12 раз;латеральные или боковые зашагивания 12 раз;"Латеральные или боковые зашагивания, техника выполнения упражнения";table_036;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Латеральные или боковые зашагивания, техника выполнения упражнения";1;1;1;ноги бицепс бедра;зашагивание;Средняя ягодичная / квадрицепс;true;"Латеральная или боковая вытяжка в кросовере, техника выполнения упражнения. (ЛФК для спины)";0.468;Упражнение 4: Латеральные или боковые зашагивания 12 раз
Латеральные или боковые зашагивания 8 раз;латеральные или боковые зашагивания 8 раз;"Латеральные или боковые зашагивания, техника выполнения упражнения";table_036;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Латеральные или боковые зашагивания, техника выполнения упражнения";1;1;1;ноги бицепс бедра;зашагивание;Средняя ягодичная / квадрицепс;true;"Латеральная или боковая вытяжка в кросовере, техника выполнения упражнения. (ЛФК для спины)";0.535;Упражнение 6: Латеральные или боковые зашагивания 8 раз
Мертвая тяга 12 раз;мертвая тяга 12 раз;"Мёртвая тяга, техника выполнения упражнения";table_122;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Мёртвая тяга, техника выполнения упражнения";1;1;1;ноги бицепс бедра;разгибание таза;Бицепс бедра / ягодицы;true;"Вертикальная тяга одной рукой, техника выполнения упражнения";0.269;Упражнение 6: Мертвая тяга 12 раз
Сгибание ног лежа 15 раз;сгибание ног лежа 15 раз;"Сгибание ног лёжа, техника выполнения упражнения";table_037;0.88;fuzzy_match;Высокая похожесть по токенам/строке.;"Сгибание ног лёжа, техника выполнения упражнения";1;1;1;ноги бицепс бедра;сгибание ног;Бицепс бедра;true;"Сгибание ног сидя, техника выполнения упражнения";0.416;Упражнение 5: Сгибание ног лежа 15 раз
Мертвая тяга;мертвая тяга;"Мёртвая тяга, техника выполнения упражнения";table_122;1;exact_match;Нормализованные названия совпадают полностью.;;513;108;513;ноги бицепс бедра;разгибание таза;Бицепс бедра / ягодицы;true;"Становая тяга, техника выполнения упражнения";0.486;Упражнение 4: Мертвая тяга 4 подходов x 10 раз | Упражнение 4: Мертвая тяга 4 подходов x 8 раз | Упражнение 4: Мертвая тяга 4 подходов x 12 раз
Сгибание ног сидя;сгибание ног сидя;"Сгибание ног сидя, техника выполнения упражнения";table_016;1;exact_match;Нормализованные названия совпадают полностью.;;430;121;430;ноги бицепс бедра;сгибание ног;Бицепс бедра;true;"Сгибание ног лёжа, техника выполнения упражнения";0.649;Упражнение 3: Сгибание ног сидя 4 подходов x 10 раз | Упражнение 4: Сгибание ног сидя 4 подходов x 10 раз | Упражнение 3: Сгибание ног сидя 4 подходов x 10 раз
Ягодичный мост в тренажере;ягодичный мост в тренажере;"Ягодичный мост в тренажере, техника выполнения упражнения";table_118;1;exact_match;Нормализованные названия совпадают полностью.;;379;99;379;ягодицы;разгибание таза;Большая ягодичная;true;"Ягодичный мост в смитте, техника выполнения упражнения";0.633;Упражнение 4: Ягодичный мост в тренажере 4 подходов x 12 раз | Упражнение 4: Ягодичный мост в тренажере 4 подходов x 10 раз | Упражнение 4: Ягодичный мост в тренажере 4 подходов x 12 раз
Римские подтягивания;римские подтягивания;"Римские подтягивания, техника выполнения упражнения";table_073;1;exact_match;Нормализованные названия совпадают полностью.;;315;108;315;спина;вертикальная тяга;Широчайшие;true;"Подтягивания широким хватом, техника выполнения упражнения";0.38;Упражнение 2: Римские подтягивания 4 подходов x 8 раз | Упражнение 2: Римские подтягивания 4 подходов x 12 раз | Упражнение 2: Римские подтягивания 4 подходов x 8 раз
Сведение и разведение ног;сведение и разведение ног;"Сведение и разведение ног, техника выполнения упражнения";table_044;1;exact_match;Нормализованные названия совпадают полностью.;;270;40;270;ноги;приведение отведение бедра;Приводящие / отводящие бедра;true;"Разгибание ног, техника выполнения упражнения";0.328;Упражнение 6: Сведение и разведение ног 4 подходов x 15 раз | Упражнение 9: Сведение и разведение ног | Упражнение 9: Сведение и разведение ног
Пресс на босу;пресс на босу;"Пресс на босу, техника выполнения упражнения";table_097;1;exact_match;Нормализованные названия совпадают полностью.;;240;74;240;пресс;скручивание;Прямая мышца живота;true;"Планка на босу, техника выполнения упражнения";0.492;Упражнение 8: Пресс на босу 4 подходов x 15 раз | Упражнение 8: Пресс на босу 4 подходов x 15 раз | Упражнение 8: Пресс на босу 4 подходов x 15 раз
Румынская тяга;румынская тяга;"Румынская тяга, техника выполнения упражнения";table_121;1;exact_match;Нормализованные названия совпадают полностью.;;238;73;238;спина;разгибание таза;Бицепс бедра / ягодицы;true;"Мёртвая тяга, техника выполнения упражнения";0.477;Упражнение 1: Румынская тяга 4 подходов x 12 раз | Упражнение 1: Румынская тяга 4 подходов x 6 раз | Упражнение 1: Румынская тяга 4 подходов x 12 раз
Разгибание ног;разгибание ног;"Разгибание ног, техника выполнения упражнения";table_123;1;exact_match;Нормализованные названия совпадают полностью.;;224;88;224;ноги;разгибание ног;Квадрицепс;true;"Сгибание ног лёжа, техника выполнения упражнения";0.448;Упражнение 3: Разгибание ног 4 подходов x 10 раз | Упражнение 2: Разгибание ног 4 подходов x 10 раз | Упражнение 3: Разгибание ног 4 подходов x 10 раз
Вытяжка в гиперэкстензии;вытяжка в гиперэкстензии;"Вытяжка в гиперэкстензии, техника выполнения упражнения. (ЛФК для спины)";table_009;1;exact_match;Нормализованные названия совпадают полностью.;;183;30;183;спина лфк спины;лфк вытяжка;Разгибатели позвоночника;true;"Гиперэкстензия, техника выполнения упражнения";0.509;Упражнение 1: Вытяжка в гиперэкстензии 4 подходов x 10 раз | Упражнение 1: Вытяжка в гиперэкстензии 4 подходов x 10 раз | Упражнение 1: Вытяжка в гиперэкстензии 4 подходов x 10 раз
Рычажная тяга;рычажная тяга;"Рычажная тяга, техника выполнения упражнения";table_072;1;exact_match;Нормализованные названия совпадают полностью.;;182;90;182;спина;горизонтальная тяга;Верх спины;true;"Вертикальная тяга, техника выполнения упражнения";0.48;Упражнение 2: Рычажная тяга 4 подходов x 12 раз | Упражнение 2: Рычажная тяга 4 подходов x 12 раз | Упражнение 3: Рычажная тяга 4 подходов x 12 раз
Тяга к поясу в кроссовере;тяга к поясу в кроссовере;"Тяга к поясу в кроссовере, техника выполнения упражнения";table_075;1;exact_match;Нормализованные названия совпадают полностью.;;166;74;166;спина;горизонтальная тяга;Верх спины;true;"Тяга к подбородку в кроссовере, техника выполнения упражнения";0.65;Упражнение 3: Тяга к поясу в кроссовере 4 подходов x 12 раз | Упражнение 1: Тяга к поясу в кроссовере 4 подходов x 10 раз | Упражнение 3: Тяга к поясу в кроссовере 4 подходов x 12 раз
Трицепс в кроссовере обратным хватом;трицепс в кроссовере обратным хватом;"Трицепс в кроссовере обратным хватом, техника выполнения упражнения";table_135;1;exact_match;Нормализованные названия совпадают полностью.;;165;80;165;трицепс;разгибание локтя;Трицепс;true;"Подтягивания в гравитроне обратным хватом, техника выполнения упражнения";0.474;Упражнение 5: Трицепс в кроссовере обратным хватом 4 подходов x 12 раз | Упражнение 5: Трицепс в кроссовере обратным хватом 4 подходов x 8 раз | Упражнение 5: Трицепс в кроссовере обратным хватом 4 подходов x 12 раз
Выпады в кроссовере;выпады в кроссовере;"Выпады в кроссовере, техника выполнения упражнения";table_013;1;exact_match;Нормализованные названия совпадают полностью.;;154;63;154;ноги ягодицы;выпад;Ягодицы / квадрицепс;true;"Пуловер в кроссовере, техника выполнения упражнения";0.494;Упражнение 3: Выпады в кроссовере 4 подходов x 12 раз | Упражнение 3: Выпады в кроссовере 4 подходов x 12 раз | Упражнение 2: Выпады в кроссовере 4 подходов x 10 раз
Тяга к подбородку в кроссовере;тяга к подбородку в кроссовере;"Тяга к подбородку в кроссовере, техника выполнения упражнения";table_051;1;exact_match;Нормализованные названия совпадают полностью.;;153;53;153;плечи передняя дельта средняя дельта;тяга к подбородку;Средняя дельта / трапеция;true;"Тяга к поясу в кроссовере, техника выполнения упражнения";0.65;Упражнение 7: Тяга к подбородку в кроссовере 4 подходов x 12 раз | Упражнение 7: Тяга к подбородку в кроссовере 4 подходов x 12 раз | Упражнение 5: Тяга к подбородку в кроссовере 4 подходов x 10 раз
Классические отжимания;классические отжимания;"Классические отжимания, техника выполнения упражнения";table_103;1;exact_match;Нормализованные названия совпадают полностью.;;150;66;150;грудь;горизонтальный жим;Грудные / трицепс;true;"Обратные отжимания, техника выполнения упражнения";0.461;Упражнение 1: Классические отжимания 4 подходов x 10 раз | Упражнение 1: Классические отжимания 4 подходов x 10 раз | Упражнение 1: Классические отжимания 4 подходов x 10 раз
Сгибание лежа по 1 ноге;сгибание лежа по 1 ноге;"Сгибание лежа по 1 ноге, техника выполнения упражнения";table_034;1;exact_match;Нормализованные названия совпадают полностью.;;143;69;143;ноги бицепс бедра;сгибание ног;Бицепс бедра;true;"Сгибание ног лёжа, техника выполнения упражнения";0.586;Упражнение 3: Сгибание лежа по 1 ноге 4 подходов x 10 раз | Упражнение 3: Сгибание лежа по 1 ноге 4 подходов x 10 раз | Упражнение 4: Сгибание лежа по 1 ноге 4 подходов x 10 раз
Бицепс с канатной рукояткой в кроссовере;бицепс с канатной рукояткой в кроссовере;"Бицепс с канатной рукояткой в кроссовере, техника выполнения упражнения";table_175;1;exact_match;Нормализованные названия совпадают полностью.;;135;61;135;бицепс;сгибание локтя;Бицепс / брахиалис;true;"Молотковые сгибание на бицепс с канатной рукояткой в кроссовере, техника выполнения упражнения";0.92;Упражнение 6: Бицепс с канатной рукояткой в кроссовере 4 подходов x 12 раз | Упражнение 6: Бицепс с канатной рукояткой в кроссовере 4 подходов x 12 раз | Упражнение 6: Бицепс с канатной рукояткой в кроссовере 4 подходов x 8 раз
Обратные отжимания;обратные отжимания;"Обратные отжимания, техника выполнения упражнения";table_160;1;exact_match;Нормализованные названия совпадают полностью.;;135;74;135;трицепс;разгибание локтя;Трицепс;true;"Классические отжимания, техника выполнения упражнения";0.461;Упражнение 5: Обратные отжимания 4 подходов x 10 раз | Упражнение 5: Обратные отжимания 4 подходов x 10 раз | Упражнение 5: Обратные отжимания 4 подходов x 15 раз
Обратный гак присед;обратный гак присед;"Обратный Гак присед, техника выполнения упражнения";table_041;1;exact_match;Нормализованные названия совпадают полностью.;;134;52;134;ноги;приседание;Ягодицы / квадрицепс;true;"Гак присед, техника выполнения упражнения";0.88;Упражнение 1: Обратный гак присед 4 подходов x 12 раз | Упражнение 1: Обратный гак присед 4 подходов x 12 раз | Упражнение 2: Обратный гак присед 4 подходов
Сгибание Зотмана;сгибание зотмана;"Сгибание Зотмана, техника выполнения упражнения";table_168;1;exact_match;Нормализованные названия совпадают полностью.;;129;58;129;бицепс;сгибание локтя;Бицепс / брахиалис;true;"Сгибание ног лёжа, техника выполнения упражнения";0.474;Упражнение 5: Сгибание Зотмана 4 подходов x 10 раз | Упражнение 6: Сгибание Зотмана 4 подходов x 10 раз | Упражнение 5: Сгибание Зотмана 4 подходов x 10 раз
Т-тяга со штангой;т тяга со штангой;"Т-тяга со штангой, техника выполнения упражнения";table_064;1;exact_match;Нормализованные названия совпадают полностью.;;124;61;124;спина;горизонтальная тяга;Верх спины;true;"Тяга штанги к поясу, техника выполнения упражнения";0.771;Упражнение 3: Т-тяга со штангой 4 подходов x 12 раз | Упражнение 3: Т-тяга со штангой 4 подходов x 12 раз | Упражнение 3: Т-тяга со штангой 4 подходов x 8 раз
Жим штанги под углом;жим штанги под углом;"Жим штанги под углом, техника выполнения упражнения";table_046;1;exact_match;Нормализованные названия совпадают полностью.;;123;47;123;грудь;горизонтальный жим;Верх груди;true;"Жим штанги лёжа, техника выполнения упражнения";0.602;Упражнение 1: Жим штанги под углом 4 подходов x 6 раз | Упражнение 1: Жим штанги под углом 4 подходов x 6 раз | Упражнение 1: Жим штанги под углом 4 подходов x 8 раз
Скручивания на скамье для пресса;скручивания на скамье для пресса;"Скручивания на скамье для пресса, техника выполнения упражнения";table_086;1;exact_match;Нормализованные названия совпадают полностью.;;120;61;120;пресс;скручивание;Прямая мышца живота;true;"Скручивания на полу на пресс, техника выполнения упражнения";0.632;Упражнение 7: Скручивания на скамье для пресса 4 подходов x 15 раз | Упражнение 7: Скручивания на скамье для пресса 4 подходов x 15 раз | Упражнение 5: Скручивания на скамье для пресса 4 подходов x 15 раз
Тяга штанги к поясу;тяга штанги к поясу;"Тяга штанги к поясу, техника выполнения упражнения";table_053;1;exact_match;Нормализованные названия совпадают полностью.;;114;51;114;спина;горизонтальная тяга;Верх спины;true;"Тяга гантели к поясу, техника выполнения упражнения";0.646;Упражнение 1: Тяга штанги к поясу 4 подходов x 12 раз | Упражнение 1: Тяга штанги к поясу 4 подходов x 12 раз | Упражнение 1: Тяга штанги к поясу 4 подходов x 12 раз
Жим ногами с широкой постановкой ног;жим ногами с широкой постановкой ног;"Жим ногами с широкой постановкой ног, техника выполнения упражнения";table_035;1;exact_match;Нормализованные названия совпадают полностью.;;110;59;110;ноги;жим ногами;Приводящие / ягодицы;true;"Жим ногами, техника выполнения упражнения";0.88;Упражнение 5: Жим ногами с широкой постановкой ног 4 подходов x 8 раз | Упражнение 5: Жим ногами с широкой постановкой ног 4 подходов x 8 раз | Упражнение 5: Жим ногами с широкой постановкой ног 4 подходов x 8 раз
Становая тяга;становая тяга;"Становая тяга, техника выполнения упражнения";table_148;1;exact_match;Нормализованные названия совпадают полностью.;;107;34;107;спина;разгибание таза;Ягодицы / спина;true;Становая тяга сумо;0.92;Упражнение 1: Становая тяга 4 подходов x 8 раз | Упражнение 1: Становая тяга 4 подходов x 8 раз | Упражнение 1: Становая тяга 4 подходов x 8 раз
Подъем на бицепс на наклонной скамье под 45*;подъем на бицепс на наклонной скамье под 45;"Подъем на бицепс на наклонной скамье под 45*, техника выполнения упражнения";table_182;1;exact_match;Нормализованные названия совпадают полностью.;;106;54;106;бицепс;сгибание локтя;Бицепс;true;"Подъем на бицепс с упором в скамью, техника выполнения упражнения";0.573;Упражнение 7: Подъем на бицепс на наклонной скамье под 45* 4 подходов x 15 раз | Упражнение 7: Подъем на бицепс на наклонной скамье под 45* 4 подходов x 10 раз | Упражнение 7: Подъем на бицепс на наклонной скамье под 45* 4 подходов x 10 раз
Ягодичный мост в смитте;ягодичный мост в смитте;"Ягодичный мост в смитте, техника выполнения упражнения";table_005;1;exact_match;Нормализованные названия совпадают полностью.;;104;48;104;ягодицы;разгибание таза;Большая ягодичная;true;"Ягодичный мост в тренажере, техника выполнения упражнения";0.633;Упражнение 3: Ягодичный мост в смитте 4 подходов x 12 раз | Упражнение 3: Ягодичный мост в смитте 4 подходов x 12 раз | Упражнение 5: Ягодичный мост в смитте 4 подходов x 10 раз
Дуговая разводка;дуговая разводка;"Дуговая разводка, техника выполнения упражнения";table_021;1;exact_match;Нормализованные названия совпадают полностью.;;103;56;103;грудь;разведение рук;Большие грудные;true;"Дуговые махи гантелями, техника выполнения упражнения";0.412;Упражнение 3: Дуговая разводка 4 подходов x 10 раз | Упражнение 3: Дуговая разводка 4 подходов x 10 раз | Упражнение 3: Дуговая разводка 4 подходов x 10 раз
"Молотки, подъем на бицепс.";молотки подъем на бицепс;"Молотки, подъем на бицепс, техника выполнения упражнения";table_183;1;exact_match;Нормализованные названия совпадают полностью.;;99;49;99;бицепс;сгибание локтя;Бицепс / брахиалис;true;"Изодинамиеский подъем на бицепс, техника выполнения упражнения";0.623;"Упражнение 5: Молотки, подъем на бицепс. 4 подходов x 8 раз | Упражнение 5: Молотки, подъем на бицепс. 4 подходов x 8 раз | Упражнение 6: Молотки, подъем на бицепс. 4 подходов x 10 раз"
Латеральные или боковые зашагивания;латеральные или боковые зашагивания;"Латеральные или боковые зашагивания, техника выполнения упражнения";table_036;1;exact_match;Нормализованные названия совпадают полностью.;;98;46;98;ноги бицепс бедра;зашагивание;Средняя ягодичная / квадрицепс;true;"Латеральная планка, или боковая планка, техника выполнения упражнения";0.651;Упражнение 3: Латеральные или боковые зашагивания 5 подходов x 15 раз | Упражнение 3: Латеральные или боковые зашагивания 4 подходов x 12 раз | Упражнение 3: Латеральные или боковые зашагивания 4 подходов x 12 раз
Тяга гантели к поясу;тяга гантели к поясу;"Тяга гантели к поясу, техника выполнения упражнения";table_076;1;exact_match;Нормализованные названия совпадают полностью.;;97;57;97;спина;горизонтальная тяга;Верх спины;true;"Тяга штанги к поясу, техника выполнения упражнения";0.646;Упражнение 3: Тяга гантели к поясу 4 подходов x 10 раз | Упражнение 2: Тяга гантели к поясу 4 подходов x 8 раз | Упражнение 3: Тяга гантели к поясу 4 подходов x 10 раз
Болгарский присед;болгарский присед;"Болгарский присед, техника выполнения упражнения";table_119;1;exact_match;Нормализованные названия совпадают полностью.;;94;40;94;ноги ягодицы;выпад;Ягодицы / квадрицепс;true;"Гак присед, техника выполнения упражнения";0.48;Упражнение 5: Болгарский присед 4 подходов x 12 раз | Упражнение 5: Болгарский присед 4 подходов x 12 раз | Упражнение 2: Болгарский присед 4 подходов x 15 раз
Планка на фитболе под руками;планка на фитболе под руками;"Планка на фитболе под руками, техника выполнения упражнения";table_090;1;exact_match;Нормализованные названия совпадают полностью.;;94;50;94;пресс;стабилизация;Кор;true;"Планка на фитболе под ногами, техника выполнения упражнения";0.677;Упражнение 5: Планка на фитболе под руками 4 подходов x 30 сек | Упражнение 5: Планка на фитболе под руками 4 подходов x 30 сек | Упражнение 6: Планка на фитболе под руками 4 подходов x 1 мин
Махи на ягодицы в кроссовере.;махи на ягодицы в кроссовере;"Махи на ягодицы в кроссовере, техника выполнения упражнения";table_117;1;exact_match;Нормализованные названия совпадают полностью.;;93;43;93;ягодицы;разгибание бедра;Большая ягодичная;true;"Ягодицы с канатом в кроссовере, техника выполнения упражнения";0.591;Упражнение 6: Махи на ягодицы в кроссовере. 4 подходов x 10 раз | Упражнение 6: Махи на ягодицы в кроссовере. 4 подходов x 20 раз | Упражнение 6: Махи на ягодицы в кроссовере. 4 подходов x 10 раз
Вертикальная тяга обратным хватом;вертикальная тяга обратным хватом;"Вертикальная тяга обратным хватом, техника выполнения упражнения";table_006;1;exact_match;Нормализованные названия совпадают полностью.;;90;50;90;спина;вертикальная тяга;Широчайшие / бицепс;true;"Вертикальная тяга, техника выполнения упражнения";0.88;Упражнение 2: Вертикальная тяга обратным хватом 4 подходов x 8 раз | Упражнение 2: Вертикальная тяга обратным хватом 4 подходов x 8 раз | Упражнение 2: Вертикальная тяга обратным хватом 4 подходов x 8 раз
Горизонтальная вытяжка в кроссовере;горизонтальная вытяжка в кроссовере;"Горизонтальная вытяжка в кроссовере, техника выполнения упражнения. (ЛФК для спины)";table_008;1;exact_match;Нормализованные названия совпадают полностью.;;89;30;89;спина лфк спины;лфк вытяжка;Разгибатели позвоночника;true;Сведение рук в кроссовере на горизонтальной скамье;0.473;Упражнение 2: Горизонтальная вытяжка в кроссовере 4 подходов x 10 раз | Упражнение 1: Горизонтальная вытяжка в кроссовере 4 подходов x 10 раз | Упражнение 1: Горизонтальная вытяжка в кроссовере 4 подходов x 10 раз
Пуловер в кроссовере;пуловер в кроссовере;"Пуловер в кроссовере, техника выполнения упражнения";table_077;1;exact_match;Нормализованные названия совпадают полностью.;;89;48;89;спина;пуловер;Широчайшие;true;"Выпады в кроссовере, техника выполнения упражнения";0.494;Упражнение 3: Пуловер в кроссовере 4 подходов x 10 раз | Упражнение 3: Пуловер в кроссовере 4 подходов x 10 раз | Упражнение 3: Пуловер в кроссовере 4 подходов x 10 раз
