id,name,muscleGroup,secondaryMuscleGroup,movementType,equipment,difficulty,movementPattern,laterality,verticalHorizontal,axialLoad,exerciseCategory,alternatives,sourceCount,needsManualReview,manualNotes
"ex_латеральные-или-боковые-зашагивания-10-раз","Латеральные или боковые зашагивания 10 раз","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз; Зашагивания на тумбу 8 раз","8","false",""
"ex_латеральные-или-боковые-зашагивания-12-раз","Латеральные или боковые зашагивания 12 раз","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз","1","false",""
"ex_латеральные-или-боковые-зашагивания-15-раз","Латеральные или боковые зашагивания 15 раз","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Зашагивания на тумбу 12 раз; Зашагивания на тумбу 8 раз","2","false",""
"ex_латеральные-или-боковые-зашагивания-8-раз","Латеральные или боковые зашагивания 8 раз","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","unilateral","lower_push","false","strength_squat_lunge","Выпады в кроссовере; Выпады в смите; Латеральные или боковые зашагивания; Зашагивания на тумбу; Зашагивания на тумбу 10 раз; Латеральные или боковые зашагивания 10 раз; Зашагивания на тумбу 15 раз; Классические выпады.; Латеральные или боковые зашагивания 15 раз; Зашагивания на тумбу 12 раз","1","false",""
"ex_махи-гантелями","Махи гантелями","плечи","","isolation","free_weight","beginner","shoulder_isolation","bilateral","accessory","false","strength_shoulder_isolation","Дуговые махи; Дуговые махи на заднюю дельту; Изодинамические махи; Изодинамические махи на заднюю дельту; Махи на заднюю дельту на скамье 30*; Махи на плечи в кроссовере, тросс сзади.; Махи на скамье под 45* на плечи; Махи на ягодицы в кроссовере.","14","false",""
"ex_махи-на-заднюю-дельту-на-скамье-30","Махи на заднюю дельту на скамье 30*","плечи","","isolation","bodyweight","beginner","shoulder_isolation","bilateral","accessory","false","strength_shoulder_isolation","Дуговые махи; Дуговые махи на заднюю дельту; Изодинамические махи; Изодинамические махи на заднюю дельту; Махи на плечи в кроссовере, тросс сзади.; Махи на скамье под 45* на плечи; Махи на ягодицы в кроссовере.; Махи гантелями","56","false",""
"ex_махи-на-плечи-в-кроссовере-тросс-сзади","Махи на плечи в кроссовере, тросс сзади.","плечи","","isolation","bodyweight","beginner","shoulder_isolation","bilateral","accessory","false","strength_shoulder_isolation","Дуговые махи; Дуговые махи на заднюю дельту; Изодинамические махи; Изодинамические махи на заднюю дельту; Махи на заднюю дельту на скамье 30*; Махи на скамье под 45* на плечи; Махи на ягодицы в кроссовере.; Махи гантелями","31","false",""
"ex_махи-на-скамье-под-45-на-плечи","Махи на скамье под 45* на плечи","плечи","","isolation","bodyweight","beginner","shoulder_isolation","bilateral","accessory","false","strength_shoulder_isolation","Дуговые махи; Дуговые махи на заднюю дельту; Изодинамические махи; Изодинамические махи на заднюю дельту; Махи на заднюю дельту на скамье 30*; Махи на плечи в кроссовере, тросс сзади.; Махи на ягодицы в кроссовере.; Махи гантелями","46","false",""
"ex_махи-на-ягодицы-в-кроссовере","Махи на ягодицы в кроссовере.","плечи","","isolation","bodyweight","beginner","shoulder_isolation","bilateral","accessory","false","strength_shoulder_isolation","Дуговые махи; Дуговые махи на заднюю дельту; Изодинамические махи; Изодинамические махи на заднюю дельту; Махи на заднюю дельту на скамье 30*; Махи на плечи в кроссовере, тросс сзади.; Махи на скамье под 45* на плечи; Махи гантелями","93","false",""
"ex_мертвая-тяга","Мертвая тяга","задняя цепь","ягодицы","hinge","free_weight","beginner","hip_hinge","bilateral","lower_pull","true","strength_hip_hinge","Румынская тяга; Становая тяга; Становая тяга сумо; Мертвая тяга 12 раз","513","false",""
"ex_мертвая-тяга-12-раз","Мертвая тяга 12 раз","задняя цепь","ягодицы","hinge","free_weight","beginner","hip_hinge","bilateral","lower_pull","true","strength_hip_hinge","Мертвая тяга; Румынская тяга; Становая тяга; Становая тяга сумо","1","false",""
"ex_молотки-подъем-на-бицепс","Молотки, подъем на бицепс.","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана; Подъем на бицепс обратным хватом в кроссовере","99","false",""
"ex_молотковые-сгибания-на-бицепс-с-канатной-рукояткой","Молотковые сгибания на бицепс с канатной рукояткой","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана; Подъем на бицепс обратным хватом в кроссовере","40","false",""
"ex_молотковые-сгибания-с-канатной-рукоятью-в-кроссовере","Молотковые сгибания с канатной рукоятью в кроссовере","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана","6","false",""
"ex_обратные-отжимания","Обратные отжимания","грудь","трицепс","push","bodyweight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Классические отжимания; Отжимания в смитте; Отжимания на брусьях в гравитроне; Отжимания узким хватом; Сведение рук в кроссовере; Сведение рук в кроссовере на 30* скамье; Французский жим лёжа; Отжимания на брусьях; Классические отжимания 10 раз; Сведение рук в кроссовере на горизонтальной скамье","135","false",""
"ex_обратный-гак-присед","Обратный гак присед","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","bilateral","lower_push","true","strength_squat_lunge","Присед плие; Приседания в кроссовере; Гак присед; Плеометрический гак присед; Си-си присед с собственным весом; Присед в смите; Си-си присед с собственным весом 10 раз; Си-си присед на бицепс бедра; Присед с паузой; Си-си приседания на переднюю поверхность бедра","134","false",""
"ex_отжимания-в-смитте","Отжимания в смитте","грудь","трицепс","push","bodyweight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Классические отжимания; Обратные отжимания; Отжимания на брусьях в гравитроне; Отжимания узким хватом; Сведение рук в кроссовере; Сведение рук в кроссовере на 30* скамье; Французский жим лёжа; Отжимания на брусьях; Классические отжимания 10 раз; Сведение рук в кроссовере на горизонтальной скамье","124","false",""
"ex_отжимания-на-брусьях","Отжимания на брусьях","грудь","трицепс","push","bodyweight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Классические отжимания; Обратные отжимания; Отжимания в смитте; Отжимания на брусьях в гравитроне; Отжимания узким хватом; Сведение рук в кроссовере; Сведение рук в кроссовере на 30* скамье; Французский жим лёжа; Классические отжимания 10 раз; Сведение рук в кроссовере на горизонтальной скамье","17","false",""
"ex_отжимания-на-брусьях-в-гравитроне","Отжимания на брусьях в гравитроне","грудь","трицепс","push","bodyweight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Классические отжимания; Обратные отжимания; Отжимания в смитте; Отжимания узким хватом; Сведение рук в кроссовере; Сведение рук в кроссовере на 30* скамье; Французский жим лёжа; Отжимания на брусьях; Классические отжимания 10 раз; Сведение рук в кроссовере на горизонтальной скамье","74","false",""
"ex_отжимания-с-гантелей-на-трицепс","Отжимания с гантелей на трицепс","грудь","трицепс","push","free_weight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Жим гантелей лежа; Жим гантелей лёжа на скамье 30*; Жим гантелей сидя; Изодинамический жим гантелей на 30* скамье; Жим штанги лежа; Жим штанги под углом; Бабочка на большие грудные; Бабочка на заднюю дельту; Классические отжимания; Обратные отжимания","8","false",""
"ex_отжимания-узким-хватом","Отжимания узким хватом","грудь","трицепс","push","bodyweight","beginner","horizontal_push","bilateral","horizontal_push","false","strength_horizontal_push","Классические отжимания; Обратные отжимания; Отжимания в смитте; Отжимания на брусьях в гравитроне; Сведение рук в кроссовере; Сведение рук в кроссовере на 30* скамье; Французский жим лёжа; Отжимания на брусьях; Классические отжимания 10 раз; Сведение рук в кроссовере на горизонтальной скамье","45","false",""
"ex_паучьи-сгибания-молотковым-хватом","Паучьи сгибания молотковым хватом","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана","2","false",""
"ex_паучьи-сгибания-с-гантелями","Паучьи сгибания с гантелями","","","","","unknown","","bilateral","","false","","","18","true","Нужно вручную разметить перед использованием в заменах."
"ex_планка-на-босу","Планка на босу","кор","","core","unstable_surface","intermediate","anti_extension","bilateral","core","false","strength_anti_extension","Планка на босу под ногами; Планка на фитболе; Планка на фитболе под руками; Боковая или латеральная планка; Динамическая планка на косые мышцы; Классическая планка; Планка с перестановкой ног","13","false",""
"ex_планка-на-босу-под-ногами","Планка на босу под ногами","кор","","core","unstable_surface","intermediate","anti_extension","bilateral","core","false","strength_anti_extension","Планка на фитболе; Планка на фитболе под руками; Планка на босу; Боковая или латеральная планка; Динамическая планка на косые мышцы; Классическая планка; Планка с перестановкой ног","86","false",""
"ex_планка-на-фитболе","Планка на фитболе","кор","","core","unstable_surface","intermediate","anti_extension","bilateral","core","false","strength_anti_extension","Планка на босу под ногами; Планка на фитболе под руками; Планка на босу; Боковая или латеральная планка; Динамическая планка на косые мышцы; Классическая планка; Планка с перестановкой ног","52","false",""
"ex_планка-на-фитболе-под-руками","Планка на фитболе под руками","кор","","core","unstable_surface","intermediate","anti_extension","bilateral","core","false","strength_anti_extension","Планка на босу под ногами; Планка на фитболе; Планка на босу; Боковая или латеральная планка; Динамическая планка на косые мышцы; Классическая планка; Планка с перестановкой ног","94","false",""
"ex_планка-с-перестановкой-ног","Планка с перестановкой ног","кор","","core","bodyweight","beginner","anti_extension","bilateral","core","false","strength_anti_extension","Боковая или латеральная планка; Динамическая планка на косые мышцы; Классическая планка; Планка на босу под ногами; Планка на фитболе; Планка на фитболе под руками; Планка на босу","79","false",""
"ex_плеометрический-гак-присед","Плеометрический гак присед","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","bilateral","lower_push","true","strength_squat_lunge","Обратный гак присед; Присед плие; Приседания в кроссовере; Гак присед; Си-си присед с собственным весом; Присед в смите; Си-си присед с собственным весом 10 раз; Си-си присед на бицепс бедра; Присед с паузой; Си-си приседания на переднюю поверхность бедра","17","false",""
"ex_подтягивания-в-гравитроне-обратным-хватом","Подтягивания в гравитроне обратным хватом","спина","бицепс","pull","machine","beginner","vertical_pull","bilateral","vertical_pull","false","strength_vertical_pull","Подтягивания в гравитроне параллельным хватом; Подтягивания в гравитроне широким хватом; Вертикальная тяга обратным хватом; Вертикальная тяга узким хватом; Вертикальная тяга широким хватом; Подтягивания обратным хватом; Подтягивания широким хватом; Римские подтягивания; Подтягивания параллельным хватом; Вертикальная тяга одной рукой","1","false",""
"ex_подтягивания-в-гравитроне-параллельным-хватом","Подтягивания в гравитроне параллельным хватом","спина","бицепс","pull","machine","beginner","vertical_pull","bilateral","vertical_pull","false","strength_vertical_pull","Подтягивания в гравитроне широким хватом; Подтягивания в гравитроне обратным хватом; Вертикальная тяга обратным хватом; Вертикальная тяга узким хватом; Вертикальная тяга широким хватом; Подтягивания обратным хватом; Подтягивания широким хватом; Римские подтягивания; Подтягивания параллельным хватом; Вертикальная тяга одной рукой","32","false",""
"ex_подтягивания-в-гравитроне-широким-хватом","Подтягивания в гравитроне широким хватом","спина","бицепс","pull","machine","beginner","vertical_pull","bilateral","vertical_pull","false","strength_vertical_pull","Подтягивания в гравитроне параллельным хватом; Подтягивания в гравитроне обратным хватом; Вертикальная тяга обратным хватом; Вертикальная тяга узким хватом; Вертикальная тяга широким хватом; Подтягивания обратным хватом; Подтягивания широким хватом; Римские подтягивания; Подтягивания параллельным хватом; Вертикальная тяга одной рукой","27","false",""
"ex_подтягивания-обратным-хватом","Подтягивания обратным хватом","спина","бицепс","pull","bodyweight","intermediate","vertical_pull","bilateral","vertical_pull","false","strength_vertical_pull","Вертикальная тяга обратным хватом; Вертикальная тяга узким хватом; Вертикальная тяга широким хватом; Подтягивания широким хватом; Римские подтягивания; Подтягивания параллельным хватом; Вертикальная тяга одной рукой; Подтягивания в гравитроне параллельным хватом; Подтягивания в гравитроне широким хватом; Подтягивания в гравитроне обратным хватом","27","false",""
"ex_подтягивания-параллельным-хватом","Подтягивания параллельным хватом","спина","бицепс","pull","bodyweight","intermediate","vertical_pull","bilateral","vertical_pull","false","strength_vertical_pull","Вертикальная тяга обратным хватом; Вертикальная тяга узким хватом; Вертикальная тяга широким хватом; Подтягивания обратным хватом; Подтягивания широким хватом; Римские подтягивания; Вертикальная тяга одной рукой; Подтягивания в гравитроне параллельным хватом; Подтягивания в гравитроне широким хватом; Подтягивания в гравитроне обратным хватом","13","false",""
"ex_подтягивания-широким-хватом","Подтягивания широким хватом","спина","бицепс","pull","bodyweight","intermediate","vertical_pull","bilateral","vertical_pull","false","strength_vertical_pull","Вертикальная тяга обратным хватом; Вертикальная тяга узким хватом; Вертикальная тяга широким хватом; Подтягивания обратным хватом; Римские подтягивания; Подтягивания параллельным хватом; Вертикальная тяга одной рукой; Подтягивания в гравитроне параллельным хватом; Подтягивания в гравитроне широким хватом; Подтягивания в гравитроне обратным хватом","48","false",""
"ex_подъем-на-бицепс-в-тренажере-для-гребной-тяги","Подъем на бицепс в тренажере для гребной тяги","бицепс","предплечья","isolation","machine","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с гантелью на скамье Скотта; Бицепс с канатной рукояткой в кроссовере; Бицепс со штангой на скамье Скотта; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*","22","false",""
"ex_подъем-на-бицепс-гантелей-стоя","Подъем на бицепс гантелей стоя.","бицепс","предплечья","isolation","free_weight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с гантелью на скамье Скотта; Бицепс со штангой на скамье Скотта; Подъем на бицепс с гантелями сидя; Подъем EZ-штанги на бицепс; Бицепс с двумя гантелями на скамье Скотта; Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс","15","false",""
"ex_подъем-на-бицепс-на-наклонной-скамье-под-45","Подъем на бицепс на наклонной скамье под 45*","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс широким хватом; Сгибание Зотмана; Подъем на бицепс обратным хватом в кроссовере","106","false",""
"ex_подъем-на-бицепс-обратным-хватом-в-кроссовере","Подъем на бицепс обратным хватом в кроссовере","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана","14","false",""
"ex_подъем-на-бицепс-с-гантелями-сидя","Подъем на бицепс с гантелями сидя","бицепс","предплечья","isolation","free_weight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с гантелью на скамье Скотта; Бицепс со штангой на скамье Скотта; Подъем EZ-штанги на бицепс; Бицепс с двумя гантелями на скамье Скотта; Подъем на бицепс гантелей стоя.; Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс","41","false",""
"ex_подъем-на-бицепс-с-резинкой-сидя","Подъем на бицепс с резинкой сидя","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана","5","false",""
"ex_подъем-на-бицепс-спиной-к-кроссоверу","Подъем на бицепс спиной к кроссоверу","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана","11","false",""
"ex_подъем-на-бицепс-широким-хватом","Подъем на бицепс широким хватом","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Сгибание Зотмана; Подъем на бицепс обратным хватом в кроссовере","58","false",""
"ex_подъем-на-бицепс-широким-хватом","Подъём на бицепс широким хватом","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Сгибание Зотмана; Подъем на бицепс обратным хватом в кроссовере","9","false",""
"ex_подъем-ez-штанги-на-бицепс","Подъем EZ-штанги на бицепс","бицепс","предплечья","isolation","free_weight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с гантелью на скамье Скотта; Бицепс со штангой на скамье Скотта; Подъем на бицепс с гантелями сидя; Бицепс с двумя гантелями на скамье Скотта; Подъем на бицепс гантелей стоя.; Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс","64","false",""
"ex_подъемы-ног","Подъемы ног","","","","","unknown","","bilateral","","false","","","341","true","Нужно вручную разметить перед использованием в заменах."
"ex_подъемы-ног-на-скамье-для-пресса","Подъемы ног на скамье для пресса","кор","","core","bodyweight","beginner","trunk_flexion","bilateral","core","false","strength_trunk_flexion","Касания пяток (пресс); Косые скручивания с мячом; Прямые скручивания с мячом; Скручивания на скамье для пресса; Прямые скручивания на пресс; Велосипедные скручивания; Скручивание на полу; Пресс на босу","59","false",""
"ex_попеременный-подъем-на-бицепс","Попеременный подъем на бицепс","бицепс","предплечья","isolation","bodyweight","beginner","elbow_flexion","bilateral","accessory","false","strength_elbow_flexion","Бицепс с канатной рукояткой в кроссовере; Изодинамический подъем на бицепс; Изодинамический подъем на бицепс.; Классический подъем на бицепс в кроссовере; Концентрированный подъем на бицепс; Молотки, подъем на бицепс.; Молотковые сгибания на бицепс с канатной рукояткой; Подъем на бицепс на наклонной скамье под 45*; Подъем на бицепс широким хватом; Сгибание Зотмана","8","false",""
"ex_пресс-на-босу","Пресс на босу","кор","","core","unstable_surface","intermediate","trunk_flexion","bilateral","core","false","strength_trunk_flexion","Касания пяток (пресс); Косые скручивания с мячом; Подъемы ног на скамье для пресса; Прямые скручивания с мячом; Скручивания на скамье для пресса; Прямые скручивания на пресс; Велосипедные скручивания; Скручивание на полу","240","false",""
"ex_присед-в-смите","Присед в смите","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","bilateral","lower_push","true","strength_squat_lunge","Обратный гак присед; Присед плие; Приседания в кроссовере; Гак присед; Плеометрический гак присед; Си-си присед с собственным весом; Си-си присед с собственным весом 10 раз; Си-си присед на бицепс бедра; Присед с паузой; Си-си приседания на переднюю поверхность бедра","11","false",""
"ex_присед-плие","Присед плие","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","bilateral","lower_push","true","strength_squat_lunge","Обратный гак присед; Приседания в кроссовере; Гак присед; Плеометрический гак присед; Си-си присед с собственным весом; Присед в смите; Си-си присед с собственным весом 10 раз; Си-си присед на бицепс бедра; Присед с паузой; Си-си приседания на переднюю поверхность бедра","45","false",""
"ex_присед-с-паузой","Присед с паузой","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","bilateral","lower_push","true","strength_squat_lunge","Обратный гак присед; Присед плие; Приседания в кроссовере; Гак присед; Плеометрический гак присед; Си-си присед с собственным весом; Присед в смите; Си-си присед с собственным весом 10 раз; Си-си присед на бицепс бедра; Си-си приседания на переднюю поверхность бедра","2","false",""
"ex_приседания-в-кроссовере","Приседания в кроссовере","квадрицепс","ягодицы","push","bodyweight","beginner","squat_lunge","bilateral","lower_push","true","strength_squat_lunge","Обратный гак присед; Присед плие; Гак присед; Плеометрический гак присед; Си-си присед с собственным весом; Присед в смите; Си-си присед с собственным весом 10 раз; Си-си присед на бицепс бедра; Присед с паузой; Си-си приседания на переднюю поверхность бедра","176","false",""
"ex_приседания-со-штангой","Приседания со штангой","квадрицепс","ягодицы","push","free_weight","intermediate","squat_lunge","bilateral","lower_push","true","strength_squat_lunge","Фронтальные приседания со штангой; Выпады со штангой; Болгарский присед; Обратный гак присед; Присед плие; Приседания в кроссовере; Гак присед; Плеометрический гак присед; Си-си присед с собственным весом; Присед в смите","27","false",""
"ex_прямые-скручивания-на-пресс","Прямые скручивания на пресс","кор","","core","bodyweight","beginner","trunk_flexion","bilateral","core","false","strength_trunk_flexion","Касания пяток (пресс); Косые скручивания с мячом; Подъемы ног на скамье для пресса; Прямые скручивания с мячом; Скручивания на скамье для пресса; Велосипедные скручивания; Скручивание на полу; Пресс на босу","14","false",""
"ex_прямые-скручивания-с-мячом","Прямые скручивания с мячом","кор","","core","bodyweight","beginner","trunk_flexion","bilateral","core","false","strength_trunk_flexion","Касания пяток (пресс); Косые скручивания с мячом; Подъемы ног на скамье для пресса; Скручивания на скамье для пресса; Прямые скручивания на пресс; Велосипедные скручивания; Скручивание на полу; Пресс на босу","47","false",""
"ex_пуловер-в-кроссовере","Пуловер в кроссовере","","","","","unknown","","bilateral","","false","","","89","true","Нужно вручную разметить перед использованием в заменах."
"ex_пуловер-с-гантелей","Пуловер с гантелей","","","","","unknown","","bilateral","","false","","","2","true","Нужно вручную разметить перед использованием в заменах."
"ex_пуловер-со-штангой","Пуловер со штангой","","","","","unknown","","bilateral","","false","","","87","true","Нужно вручную разметить перед использованием в заменах."
"ex_разводка-под-15","Разводка под 15*","","","","","unknown","","bilateral","","false","","","533","true","Нужно вручную разметить перед использованием в заменах."
"ex_разгибание-на-трицепс-в-наклоне","Разгибание на трицепс в наклоне","трицепс","","isolation","bodyweight","beginner","elbow_extension","bilateral","accessory","false","strength_elbow_extension","Разгибание на трицепс с канатной рукоятью; Трицепс в кроссовере обратным хватом; Тяга из-за головы в кроссовере на трицепс.; Тяга из-за головы на трицепс; Разгибание на трицепс из-за головы; Разгибание на трицепс по одной руке в кроссовере; Трицепс в тренажёре формата ""брусья""; Французский жим гантели стоя; Французский жим с гантелями","61","false",""
"ex_разгибание-на-трицепс-из-за-головы","Разгибание на трицепс из-за головы","трицепс","","isolation","bodyweight","beginner","elbow_extension","bilateral","accessory","false","strength_elbow_extension","Разгибание на трицепс в наклоне; Разгибание на трицепс с канатной рукоятью; Трицепс в кроссовере обратным хватом; Тяга из-за головы в кроссовере на трицепс.; Тяга из-за головы на трицепс; Разгибание на трицепс по одной руке в кроссовере; Трицепс в тренажёре формата ""брусья""; Французский жим гантели стоя; Французский жим с гантелями","16","false",""
"ex_разгибание-на-трицепс-по-одной-руке-в-кроссовере","Разгибание на трицепс по одной руке в кроссовере","трицепс","","isolation","bodyweight","beginner","elbow_extension","unilateral","accessory","false","strength_elbow_extension","Разгибание на трицепс в наклоне; Разгибание на трицепс с канатной рукоятью; Трицепс в кроссовере обратным хватом; Тяга из-за головы в кроссовере на трицепс.; Тяга из-за головы на трицепс; Разгибание на трицепс из-за головы; Трицепс в тренажёре формата ""брусья""; Французский жим гантели стоя; Французский жим с гантелями","61","false",""
"ex_разгибание-на-трицепс-с-канатной-рукоятью","Разгибание на трицепс с канатной рукоятью","трицепс","","isolation","bodyweight","beginner","elbow_extension","bilateral","accessory","false","strength_elbow_extension","Разгибание на трицепс в наклоне; Трицепс в кроссовере обратным хватом; Тяга из-за головы в кроссовере на трицепс.; Тяга из-за головы на трицепс; Разгибание на трицепс из-за головы; Разгибание на трицепс по одной руке в кроссовере; Трицепс в тренажёре формата ""брусья""; Французский жим гантели стоя; Французский жим с гантелями","109","false",""
"ex_разгибание-ног","Разгибание ног","квадрицепс","","push","machine","beginner","knee_extension","bilateral","lower_push","false","strength_knee_extension","Жим ногами; Жим ногами на бицеп бедра; Жим ногами с параллельной постановкой ног; Жим ногами с широкой постановкой ног; Жим платформы на ягодицы; Горизонтальный жим ногами; Разгибание ног 10 раз","224","false",""
"ex_разгибание-ног-10-раз","Разгибание ног 10 раз","квадрицепс","","push","machine","beginner","knee_extension","bilateral","lower_push","false","strength_knee_extension","Жим ногами; Жим ногами на бицеп бедра; Жим ногами с параллельной постановкой ног; Жим ногами с широкой постановкой ног; Жим платформы на ягодицы; Разгибание ног; Горизонтальный жим ногами","9","false",""
